"SID","SID2","beepvar3","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","studied","interacted","se","academic_motiv","sick","free","A_rude_sd","E_quiet_sd","C_lazy_sd","N_relaxed_sd","N_depressed_sd","E_outgoing_sd","A_kind_sd","C_reliable_sd","N_worried_sd"
"10107",75,21,-0.155555555555555,1.80434782608696,-0.58695652173913,-1.30434782608696,-0.304347826086957,-2.19565217391304,-0.488888888888889,0.282608695652174,1.5,1,1,3,5,3,0,0.362433476228891,1.24042224383279,0.956291144800153,0.985890803450616,0.591403799536561,0.980239544814119,1.04609798186132,0.719970477118823,1.09036181558641
"10108",76,17,3.2,0.03125,2.59375,-0.9375,1.53125,0,-2.1,-0.375,1.0625,0,1,3,3,5,0,1.14722666995588,1.40240289181381,1.41100227475183,1.01401469735483,1.10670609788542,1.21814242506446,0.855720786539704,0.94185814971977,1.34254212404628
"10109",77,23,-0.0227272727272727,-0.666666666666667,-1.0625,-0.041666666666667,-0.0416666666666667,0.208333333333333,0.818181818181818,0.270833333333333,-0.375,1,1,4,5,3,0,0.144197908273607,1.41921964373494,1.03976777276303,0.874176410779381,0.201940936523459,1.11007635032285,0.628159326337666,0.49420399497827,0.841098572410296
"10111",79,22,-0.0158813761781512,-1.14814814814815,0.277777777777778,0.148148148148148,-0.222222222222222,1.01851851851852,0.240740740740741,0.0555555555555554,-0.0555555555555554,0,1,4,3,5,0,0,1.0169767888004,1.03553225156204,1.03536352940181,0.462424564645328,0.835322573343607,0.43154768359306,0.301985046903748,1.03553225156204
"10112",80,20,-0.214166666666667,0.625,0.1,-0.8,0.75,0.7,0.795,1.225,0.675,1,1,3,4,3,0,0.82840895456978,0.978945010372561,0.810191493666933,0.992277876713667,1.03155347127648,0.939175852570371,0.571973641135539,0.83166499665831,0.858964791374194
"10113",81,24,0,-1.23404255319149,-0.936170212765957,-0.382978723404255,-0.659574468085106,0.617021276595745,0,-0.0212765957446805,-0.148936170212766,1,0,3,4,3,0,0.434534090465176,0.982737214586112,0.763409267384287,0.644481304392438,0.478975162498507,0.848353686735866,0.445822570060282,0.531174322574117,0.690894927022202
"10114",82,20,-0.207619047619048,0.48,-0.92,0.8,0.28,0.12,0.365714285714286,-0.8,0.0800000000000001,1,1,4,4,5,1,0.547943313242883,1.41774468787578,0.812403840463596,1.19023807142381,0.791622805802528,1.5088627063675,0.597728125124313,0.5,1.25565388012249
"10116",83,20,-0.347826086956522,0.708333333333333,1.33333333333333,-1.875,0.0339533776892532,-1.875,-1.04347826086957,-0.333333333333333,1.79166666666667,1,1,3,3,2,1,0.560178205509788,1.12207752451178,1.30772509631659,1.19099885007063,0,1.11560083246263,0.690195994190763,0.701964118163034,1.38247310428014
"10117",84,20,-0.102564102564103,-1.4,0.8,0.95,0.0249999999999999,1.175,-0.230769230769231,0.3,-0.35,0,1,4,2,3,0,0.6322475900481,1.19400210453794,0.790974731354312,0.875595035770913,0.659739653390949,0.957761813974483,0.658729875828981,0.563869415688347,0.802240452476527
"10118",85,24,-0.032258064516129,0.836734693877551,0.204081632653061,-0.163265306122449,-0.0204081632653059,-0.408163265306122,-0.258064516129032,-0.0408163265306118,-0.0816326530612246,1,1,3,2,2,0,0.141990458561766,0.825301429163668,0.790031429668431,0.799659791606984,0.249148208767338,0.704697551759464,0.351647428511136,0.199914947901746,0.60679261606546
