"SID","day","real_order","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","pos_emotion","neg_emotion","authentic","SE","Happy","Lonely"
"10493",16,7,2,4,5,3,2,3,2,4,3,2,4,2,3,2,1
"10432",40,7,1,5,2,5,1,1,3,5,1,4,1,5,5,5,1
"10465",8,6,2,2,2,5,1,4,4,4,1,4,1,4,4,5,1
"10438",32,6,1,2,1,5,1,4,4,5,1,5,1,5,3,5,1
"10452",8,6,1,2,4,5,1,5,4,5,1,5,1,5,5,5,1
"10459",16,6,1,3,4,3,4,4,3,3,3,3,3,3,2,3,3
"10447",8,6,2,2,2,2,1,3,4,5,2,4,2,5,4,3,1
"10480",12,6,1,2,1,4,1,4,5,5,2,5,1,4,4,5,1
"10437",36,6,1,5,1,4,2,2,4,5,3,4,2,4,4,4,1
"10445",24,6,1,3,1,3,2,4,4,3,4,4,3,5,4,4,2
"10441",40,6,NA,5,3,1,3,1,NA,4,4,3,3,3,3,2,1
"10451",12,6,1,1,1,5,1,5,5,5,1,5,1,5,5,5,1
"10493",12,6,1,5,1,5,1,1,3,5,1,5,1,5,2,5,1
"10448",20,6,NA,5,2,2,4,1,NA,4,5,2,4,4,2,1,5
"10397",36,6,1,1,2,4,1,4,4,4,2,3,2,5,3,4,2
"10490",8,6,NA,4,2,3,1,1,NA,3,1,3,2,2,2,3,2
"10432",36,6,1,3,3,4,1,3,4,5,1,5,1,5,4,4,1
"10436",40,5,1,3,3,3,1,3,3,3,3,3,3,3,3,3,1
"10452",4,5,1,2,2,4,3,4,3,5,2,4,2,5,4,5,1
"10442",36,5,1,1,1,3,1,4,3,4,1,5,1,3,4,4,1
"10437",32,5,2,2,3,2,1,4,4,4,1,5,2,4,5,5,1
"10454",16,5,NA,4,3,5,2,1,NA,4,1,5,1,5,3,5,1
"10480",8,5,NA,5,3,2,1,2,NA,4,2,3,3,4,4,3,2
"10459",12,5,3,4,5,3,3,3,3,2,3,3,3,3,2,3,2
"10493",8,5,1,3,1,5,1,5,5,5,1,5,1,5,5,5,1
"10397",32,5,NA,5,1,4,2,1,NA,5,2,3,2,5,4,3,2
"10447",4,5,1,1,1,5,1,5,5,5,1,5,1,5,5,5,1
"10432",32,5,1,3,2,5,1,4,4,5,1,4,1,5,5,5,1
"10448",16,5,1,1,3,2,1,5,4,4,1,4,1,4,4,4,1
"10490",4,5,NA,4,3,3,2,2,NA,3,2,NA,1,3,2,3,2
"10418",52,4,1,1,2,4,1,5,5,5,1,5,1,5,4,5,1
"10442",32,4,1,5,3,3,1,2,3,3,2,3,1,3,3,3,2
"10366",60,4,1,3,5,5,1,5,5,5,1,4,1,4,4,4,1
"10444",28,4,3,4,1,3,3,4,4,4,2,3,4,3,1,3,4
"10451",4,4,1,1,1,5,1,5,5,5,1,5,1,5,5,5,1
"10454",12,4,1,1,2,4,1,5,5,5,2,4,1,4,5,4,1
"10450",16,4,NA,5,1,3,1,1,NA,5,4,4,3,5,3,2,1
"10429",52,4,NA,5,1,1,1,1,NA,4,4,2,4,5,3,3,1
"10277",56,4,1,2,3,5,1,3,5,5,1,5,2,5,4,4,1
"10437",28,4,1,2,3,4,1,4,4,4,1,5,2,4,4,4,1
"10448",12,4,1,1,1,5,1,5,4,4,1,4,2,5,4,4,1
"10493",4,4,1,1,1,5,1,5,3,5,1,5,1,5,5,3,1
"10445",16,4,1,3,4,3,3,3,4,4,4,3,3,4,3,3,3
"10372",56,4,1,4,1,4,2,3,5,3,3,3,2,4,4,3,1
"10480",4,4,NA,5,1,3,2,1,NA,3,1,3,4,4,2,3,4
"10459",8,4,2,3,3,2,3,4,4,4,3,4,4,1,2,3,3
"10397",28,4,1,4,2,2,2,2,5,4,2,2,3,4,3,3,2
"10432",28,4,1,2,3,5,1,4,5,5,1,4,1,5,4,4,1
"10459",4,3,1,3,3,3,5,3,4,4,4,3,4,4,1,3,3
"10277",52,3,1,2,3,4,1,4,5,5,1,5,1,5,3,5,1
"10436",32,3,1,2,2,3,1,3,3,4,1,3,2,3,3,3,1
"10437",24,3,1,3,3,3,3,2,4,3,3,2,4,3,2,2,3
"10440",28,3,1,1,3,4,1,5,4,3,1,5,2,5,3,5,1
"10439",24,3,2,2,3,4,1,4,4,3,2,4,1,4,4,4,1
"10454",8,3,1,1,2,3,2,3,5,4,4,3,1,5,4,3,1
"10449",8,3,2,1,2,2,1,4,4,4,4,4,4,5,3,4,1
"10444",24,3,3,4,2,1,4,2,4,4,2,2,4,2,2,2,5
"10438",20,3,1,2,2,5,2,4,4,4,1,4,1,5,4,4,2
"10442",28,3,1,4,3,3,1,3,4,3,2,3,1,3,4,4,1
"10450",12,3,1,5,1,1,1,1,3,5,3,4,2,5,5,4,1
"10418",48,3,1,2,2,5,2,4,4,4,3,4,3,5,4,3,1
"10429",48,3,1,3,1,4,1,4,5,5,2,4,2,5,5,4,1
"10445",12,3,1,1,1,3,1,5,5,5,3,5,3,5,4,5,1
"10372",52,3,2,4,4,3,2,2,2,3,4,3,3,3,3,2,3
"10448",8,3,1,2,3,4,1,4,4,4,1,4,2,5,4,4,1
"10366",56,3,1,2,4,5,1,5,5,5,2,4,1,5,4,4,2
"10397",24,3,2,3,2,3,2,3,4,4,2,2,4,4,3,2,2
"10432",24,3,1,3,3,4,1,4,4,5,1,4,1,5,4,4,1
"10439",20,2,1,3,3,3,1,4,3,3,2,4,1,4,4,4,1
"10437",20,2,1,1,2,4,1,4,4,3,2,5,2,5,5,5,1
"10442",24,2,1,3,3,3,1,3,3,3,3,3,1,3,3,3,2
"10444",20,2,2,3,2,3,1,3,4,4,1,4,1,4,4,3,2
"10436",28,2,1,3,1,2,1,3,4,4,2,3,2,3,3,4,1
"10411",56,2,2,2,2,5,1,3,4,4,1,5,1,5,4,5,1
"10418",44,2,1,4,2,2,2,2,3,3,1,3,2,5,3,3,1
"10441",24,2,1,3,3,3,3,3,2,5,3,4,2,5,4,4,2
"10429",44,2,2,3,5,3,2,1,4,5,2,2,4,5,3,3,4
"10454",4,2,1,1,1,5,1,5,5,5,1,5,1,5,3,5,1
"10448",4,2,1,2,1,3,1,2,3,4,1,2,2,4,4,4,1
"10397",20,2,1,4,2,3,3,3,5,5,3,3,2,2,3,3,3
"10422",24,2,1,2,2,3,1,4,4,4,2,3,1,4,4,4,2
"10277",48,2,NA,5,3,3,1,1,NA,4,1,4,1,5,4,4,1
"10432",20,2,NA,5,3,3,1,1,NA,5,2,4,1,5,3,4,1
"10450",8,2,1,3,2,4,1,2,3,3,5,3,2,4,2,2,1
"10372",48,2,2,4,4,3,3,3,2,3,3,2,3,3,3,2,3
"10445",8,2,1,3,4,3,3,4,5,4,4,4,4,4,1,4,2
"10449",4,2,1,3,2,2,1,3,3,4,3,4,3,5,3,4,1
"10366",52,2,1,2,5,5,1,5,5,5,2,4,1,5,4,4,1
"10426",52,1,1,5,5,5,2,1,3,4,1,3,2,3,3,4,1
"10429",40,1,3,3,3,2,2,4,3,5,3,4,3,4,3,3,3
"10444",16,1,NA,5,4,5,2,2,NA,2,2,4,4,5,4,5,2
"10441",20,1,1,2,3,4,2,3,3,4,3,4,2,5,4,4,2
"10422",20,1,2,5,2,3,1,3,3,2,3,4,2,4,4,3,1
"10277",44,1,1,5,1,2,2,1,5,5,3,5,2,5,4,4,3
"10366",48,1,1,3,1,3,1,3,5,5,4,3,1,5,5,4,1
"10439",16,1,1,4,2,2,1,3,3,3,2,3,2,3,4,3,1
"10445",4,1,1,3,5,2,3,3,3,5,3,3,3,5,2,4,2
"10438",12,1,1,2,2,5,1,4,4,5,1,4,1,5,5,4,1
"10437",16,1,2,4,3,4,1,3,4,4,2,3,2,3,4,4,2
"10440",20,1,1,3,5,3,1,1,3,3,4,3,4,4,1,1,3
"10450",4,1,1,3,3,5,1,4,4,4,3,5,2,5,5,5,1
"10411",52,1,1,3,3,4,1,4,5,4,2,5,2,5,5,5,1
"10372",44,1,2,3,4,3,2,2,2,3,3,2,4,3,3,2,2
"10397",16,1,1,2,4,4,1,4,4,5,2,4,2,4,4,4,1
"10432",16,1,NA,4,4,3,1,1,NA,4,2,3,2,5,3,3,1
"10440",16,7,1,5,2,5,1,3,3,4,5,3,3,5,3,3,1
"10429",36,7,1,3,3,4,1,4,4,5,2,3,2,5,4,3,2
"10418",36,7,1,3,3,3,1,4,4,3,3,4,3,4,4,4,1
"10372",40,7,3,3,4,3,2,3,2,2,4,2,3,3,3,2,1
"10438",8,7,1,4,4,3,3,2,5,5,5,3,3,5,2,3,2
"10366",44,7,1,4,1,2,2,3,5,5,5,3,3,5,3,3,1
"10441",16,7,1,3,4,3,2,3,3,5,3,3,3,5,4,3,2
"10436",20,7,1,2,2,5,1,2,4,4,1,4,1,5,4,5,1
"10428",28,7,NA,5,4,4,1,2,NA,3,3,3,3,3,4,3,2
"10411",48,7,1,2,1,5,1,4,4,4,1,5,2,5,5,5,1
"10437",12,7,1,4,4,3,2,3,3,2,3,3,2,3,3,2,2
"10397",12,7,2,5,2,3,2,2,4,4,2,3,2,3,4,3,2
"10432",12,7,1,4,3,3,1,1,2,4,3,2,3,5,1,3,1
