"esm.IDnum.w7","esm.PRO01.w7","esm.PRO03.w7","esm.PRO04.w7","esm.PRO05.w7","esm.BFI37.w7","esm.BFI21.w7","esm.BFI23.w7","esm.BFI09.w7","esm.BFI04.w7","esm.BFI36.w7","esm.BFI32.w7","esm.BFI13.w7","esm.BFI19.w7"
59057,19,4,6,24,2,4,5,4,2,3,4,4,3
59057,19,1,7,25,1,1,1,3,1,5,4,5,1
59057,19,1,8,29,1,2,1,3,2,5,5,5,3
59057,19,4,8,32,1,4,3,4,4,2,4,3,4
59057,19,1,9,33,1,1,1,3,1,5,4,4,2
59057,19,4,9,36,1,1,1,3,1,4,4,4,2
59057,19,1,10,37,1,1,1,4,1,4,4,4,1
59057,19,4,10,40,1,1,1,4,1,5,4,5,2
59057,19,1,11,41,2,3,1,4,1,3,4,4,1
49485,8,1,1,0,5,2,1,2,5,5,5,5,4
49485,8,4,1,4,1,5,1,1,3,1,3,5,5
49485,8,1,2,5,1,4,2,3,2,3,3,3,3
49485,8,4,2,8,1,1,2,5,2,5,5,5,2
49485,8,1,3,9,NA,5,5,3,3,1,NA,3,4
49485,8,1,4,13,1,2,3,3,2,4,5,4,3
49485,8,4,4,16,1,2,2,2,3,5,5,5,4
49485,8,1,6,21,NA,3,5,2,4,1,NA,2,3
63617,11,2,1,2,3,4,3,3,2,2,3,3,2
63617,11,1,2,5,NA,3,1,1,2,2,NA,3,5
63617,11,1,3,9,1,1,1,5,1,5,4,5,2
63617,11,4,3,12,NA,5,3,3,3,1,NA,5,2
63617,11,1,4,13,NA,5,1,4,1,1,NA,4,3
63617,11,4,4,16,NA,5,2,4,2,1,NA,3,2
63617,11,4,8,32,1,5,3,4,1,1,5,5,4
63617,11,1,12,45,2,4,1,4,1,2,3,4,2
63617,11,4,12,48,1,1,1,5,1,5,4,5,1
63617,11,1,13,49,1,4,3,3,1,2,3,3,1
63617,11,4,14,56,1,1,1,3,1,5,4,5,1
50006,1,4,1,4,1,1,2,4,1,4,4,3,NA
60759,3,1,1,0,2,1,1,1,1,3,3,4,2
60759,3,1,1,1,2,3,1,1,1,1,3,4,2
60759,3,1,2,5,1,2,2,3,1,4,3,3,1
12715,1,2,1,2,1,4,4,3,2,2,4,2,4
47284,29,2,1,2,4,1,1,5,1,4,2,4,2
47284,29,4,1,4,2,1,2,4,1,5,4,4,1
47284,29,1,2,5,1,5,1,3,1,1,2,5,2
47284,29,4,2,8,2,3,3,4,1,4,4,4,1
47284,29,1,3,9,2,2,2,4,1,3,3,4,1
47284,29,4,3,12,2,2,2,4,1,5,4,4,1
47284,29,1,4,13,2,3,2,4,1,3,3,3,2
47284,29,4,4,16,2,2,2,4,1,3,4,4,1
47284,29,1,5,17,2,3,2,4,1,2,4,3,1
47284,29,4,5,20,NA,4,1,3,1,2,NA,4,2
47284,29,1,6,21,2,5,3,4,1,2,3,4,1
47284,29,4,6,24,1,3,1,4,1,2,2,4,1
47284,29,1,7,25,2,3,2,4,1,4,NA,3,1
47284,29,4,7,28,2,5,1,3,1,2,2,5,2
47284,29,1,8,29,2,4,2,3,1,4,2,3,2
47284,29,4,8,32,NA,4,1,4,1,1,NA,4,2
47284,29,1,9,33,2,4,2,4,1,4,NA,4,1
47284,29,4,9,36,2,3,3,4,1,4,3,3,1
47284,29,1,10,37,2,3,2,3,1,3,3,3,2
47284,29,4,10,40,2,2,2,5,1,4,4,4,1
47284,29,1,11,41,2,3,1,4,1,3,3,4,2
47284,29,4,11,44,2,3,3,5,1,4,3,4,1
47284,29,1,12,45,2,3,1,4,1,3,3,4,2
47284,29,4,12,48,3,4,3,4,1,2,2,4,1
47284,29,1,13,49,2,4,2,4,1,3,3,4,1
