"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","Wave","waveDay","beepvar3","SID2","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp"
"10490",112,2,5,18,1.65789473684211,3,3,3,1,2,3.97368421052632,3,3,"7","7.5",157,186,1.65789473684211,3.4,2.81142857142857,3.22857142857143,1.14857142857143,2.25714285714286,3.97368421052632,3.12,2.30285714285714
"10523",35,2,5,18,1,3,2,4,1,3,3,5,1,"7","7.5",40,198,1.40540540540541,3.52083333333333,2.89583333333333,3.8125,1.22916666666667,2.79166666666667,3.43243243243243,3.54166666666667,1.66666666666667
"10539",89,2,5,18,2,4,2,3,2,2,3,4,3,"7","7.5",115,204,2.28448275862069,3.16153846153846,2.73076923076923,3.18461538461538,2.22307692307692,2.65384615384615,3.05172413793103,3.42307692307692,2.70769230769231
"10372",95,3,5,19,1.97413793103448,5,5,4,5,1,3.45689655172414,1,4,"7","7.5",144,141,1.97413793103448,3.97515527950311,3.32919254658385,3.3167701863354,2.91304347826087,2.08074534161491,3.45689655172414,3.02484472049689,3.21739130434783
"10378",14,3,5,19,2,5,5,3,4,1,2.47368421052632,2,3,"7","7.5",22,142,2,3.32,2.44,2.48,2.16,2.8,2.47368421052632,3.56,2.72
"10397",89,3,5,19,2,3,2,4,2,3,3,4,2,"7","7.5",132,151,2.01626016260163,3.42361111111111,2.83333333333333,3.95138888888889,1.79861111111111,2.65277777777778,3.35833333333333,3.97916666666667,1.90972222222222
"10437",96,3,5,19,1,3,2,4,1,3,5,4,2,"7","7.5",129,162,1.44776119402985,2.79285714285714,2.5,3.94285714285714,1.27857142857143,3.26428571428571,4.14925373134328,3.73571428571429,2.03571428571429
"10447",18,3,5,19,1,3,1,5,1,4,4,5,1,"7","7.5",28,167,1,3.02702702702703,1.86486486486486,4.83783783783784,1,3.62162162162162,4.80769230769231,4.94594594594595,1.16216216216216
"10490",112,3,5,19,1.65789473684211,3,3,3,1,2,3.97368421052632,3,3,"7","7.5",158,186,1.65789473684211,3.4,2.81142857142857,3.22857142857143,1.14857142857143,2.25714285714286,3.97368421052632,3.12,2.30285714285714
"10509",44,3,5,19,2,1,3,3,1,4,3,4,3,"7","7.5",60,193,1.53703703703704,2.38028169014085,2.88732394366197,3.54929577464789,1.54929577464789,3.12676056338028,3.11111111111111,3.25352112676056,2.61971830985915
"10539",89,3,5,19,3,4,2,3,2,3,3,4,3,"7","7.5",116,204,2.28448275862069,3.16153846153846,2.73076923076923,3.18461538461538,2.22307692307692,2.65384615384615,3.05172413793103,3.42307692307692,2.70769230769231
"10545",41,3,5,19,1.125,3,3,3,2,1,2.9375,1,2,"7","7.5",37,208,1.125,3.20833333333333,2.91666666666667,2.91666666666667,1.9375,1.64583333333333,2.9375,1.75,2.10416666666667
"36",14,4,5,20,1.2,5,1,4,3,2,2.5,2,1,"7","7.5",10,8,1.2,3.86666666666667,2.33333333333333,2.4,2,2.13333333333333,2.5,3.13333333333333,2.46666666666667
"45",17,4,5,20,2,1,3,5,1,5,3,3,2,"7","7.5",69,10,1.74285714285714,3.16438356164384,2.28767123287671,3.06849315068493,1.46575342465753,3.28767123287671,3.67142857142857,3.78082191780822,3
