"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","authentic","SE","Happy","Lonely","day","real_order","SID2"
"1",-0.0625,-2.025,2.375,1.225,0.15,2.775,1.375,0.3,-1.275,-0.1,0.15,0.65,-0.55,57,1,1
"1",-0.0625,0.975,-1.625,1.225,-0.85,-1.225,0.375,-0.7,-1.275,0.9,0.15,0.65,-0.55,13,1,1
"1",-0.0625,-2.025,-0.625,0.225,0.15,1.775,0.375,0.3,-0.275,-0.1,-0.85,-0.35,-1.55,13,7,1
"1",-0.0625,0.975,0.375,1.225,-0.85,0.775,-0.625,-0.7,-0.275,-1.1,-0.85,0.65,-0.55,25,7,1
"1",NA,0.975,2.375,1.225,1.15,-1.225,NA,-0.7,-0.275,0.9,0.15,-1.35,1.45,53,7,1
"1",NA,0.975,2.375,1.225,0.15,-1.225,NA,1.3,-1.275,0.9,1.15,1.65,0.45,53,7,1
"1",-0.0625,0.975,-1.625,-2.775,-0.85,-1.225,-0.625,1.3,1.725,0.9,1.15,0.65,-1.55,53,7,1
"1",-0.0625,0.975,-1.625,1.225,-0.85,-1.225,1.375,0.3,-1.275,-1.1,1.15,1.65,-1.55,9,7,1
"1",NA,0.975,-0.625,0.225,0.15,-0.225,NA,0.3,0.725,-0.1,0.15,1.65,0.45,17,6,1
"1",NA,0.975,1.375,-0.775,-0.85,-1.225,NA,0.3,-1.275,-0.1,0.15,-1.35,1.45,49,6,1
"1",-0.0625,-2.025,0.375,1.225,-0.85,1.775,-0.625,-0.7,-1.275,-0.1,-0.85,-1.35,0.45,9,6,1
"1",-0.0625,0.975,-1.625,0.225,-0.85,0.775,0.375,-0.7,-1.275,-0.1,-0.85,0.65,-1.55,57,6,1
"1",-0.0625,0.975,0.375,-1.775,1.15,-1.225,-0.625,-0.7,-0.275,-1.1,-0.85,-1.35,1.45,5,6,1
"2",NA,0.666666666666667,0.333333333333333,0.266666666666667,-1.13333333333333,1.06666666666667,NA,0.533333333333333,1.33333333333333,0.4,0.466666666666667,0.4,1.26666666666667,21,6,2
"2",NA,-0.333333333333333,0.333333333333333,0.266666666666667,0.866666666666667,-0.933333333333333,NA,-0.466666666666667,0.333333333333333,-0.6,-1.53333333333333,-0.6,0.266666666666667,17,5,2
"2",-0.25,0.666666666666667,0.333333333333333,-0.733333333333333,-1.13333333333333,1.06666666666667,0.714285714285714,0.533333333333333,1.33333333333333,0.4,0.466666666666667,-0.6,-0.733333333333333,57,5,2
"2",NA,1.66666666666667,-0.666666666666667,-1.73333333333333,1.86666666666667,0.0666666666666669,NA,-1.46666666666667,-0.666666666666667,0.4,-0.533333333333333,-0.6,-0.733333333333333,5,5,2
"2",-0.25,0.666666666666667,0.333333333333333,-0.733333333333333,-0.133333333333333,-0.933333333333333,0.714285714285714,-0.466666666666667,-0.666666666666667,-0.6,-0.533333333333333,-0.6,0.266666666666667,45,5,2
"2",0.75,-1.33333333333333,-0.666666666666667,-0.733333333333333,-0.133333333333333,1.06666666666667,-1.28571428571429,-0.466666666666667,0.333333333333333,0.4,0.466666666666667,1.4,-0.733333333333333,17,5,2
"2",NA,-0.333333333333333,-0.666666666666667,0.266666666666667,0.866666666666667,0.0666666666666669,NA,0.533333333333333,1.33333333333333,-0.6,0.466666666666667,-0.6,1.26666666666667,17,5,2
"2",NA,0.666666666666667,0.333333333333333,0.266666666666667,-0.133333333333333,-0.933333333333333,NA,0.533333333333333,-0.666666666666667,0.4,0.466666666666667,0.4,1.26666666666667,57,5,2
"2",-0.25,-0.333333333333333,0.333333333333333,1.26666666666667,-0.133333333333333,0.0666666666666669,-1.28571428571429,0.533333333333333,0.333333333333333,-0.6,-0.533333333333333,0.4,-1.73333333333333,53,4,2
"2",NA,-0.333333333333333,-0.666666666666667,-0.733333333333333,0.866666666666667,0.0666666666666669,NA,-0.466666666666667,-1.66666666666667,-0.6,0.466666666666667,-0.6,0.266666666666667,49,4,2
"2",-0.25,-2.33333333333333,0.333333333333333,0.266666666666667,-1.13333333333333,1.06666666666667,NA,0.533333333333333,-0.666666666666667,0.4,0.466666666666667,0.4,-1.73333333333333,41,4,2
"2",-0.25,-1.33333333333333,0.333333333333333,0.266666666666667,0.866666666666667,1.06666666666667,0.714285714285714,0.533333333333333,0.333333333333333,0.4,0.466666666666667,0.4,-0.733333333333333,41,4,2
"2",0.75,0.666666666666667,0.333333333333333,0.266666666666667,-0.133333333333333,0.0666666666666669,0.714285714285714,-1.46666666666667,0.333333333333333,0.4,0.466666666666667,0.4,0.266666666666667,53,4,2
"2",NA,1.66666666666667,0.333333333333333,0.266666666666667,-0.133333333333333,-1.93333333333333,NA,0.533333333333333,0.333333333333333,-0.6,-0.533333333333333,0.4,1.26666666666667,13,4,2
"2",-0.25,-0.333333333333333,-0.666666666666667,1.26666666666667,-1.13333333333333,-0.933333333333333,-0.285714285714286,0.533333333333333,-1.66666666666667,0.4,-0.533333333333333,-0.6,0.266666666666667,53,4,2
"4",NA,0.625,0.1875,-0.6875,-0.8125,-2.28125,NA,-0.5,-0.9375,-1,-0.75,-0.65625,-0.78125,57,4,3
"4",-0.666666666666667,-0.375,-0.8125,0.3125,1.1875,0.71875,-0.296296296296296,0.5,0.0625,0,0.25,0.34375,-0.78125,9,4,3
"4",-0.666666666666667,0.625,0.1875,-0.6875,1.1875,0.71875,-0.296296296296296,-0.5,0.0625,-1,-0.75,-1.65625,1.21875,13,4,3
"4",0.333333333333333,-0.375,0.1875,0.3125,-0.8125,0.71875,-0.296296296296296,-0.5,1.0625,1,0.25,0.34375,0.21875,49,4,3
"4",1.33333333333333,-1.375,-1.8125,-1.6875,-0.8125,0.71875,-0.296296296296296,1.5,1.0625,1,0.25,0.34375,-0.78125,49,3,3
"4",NA,2.625,2.1875,1.3125,-0.8125,-1.28125,NA,-0.5,1.0625,1,0.25,-0.65625,1.21875,53,3,3
"4",-0.666666666666667,-1.375,0.1875,-0.6875,-0.8125,0.71875,-0.296296296296296,0.5,-0.9375,0,1.25,1.34375,-0.78125,9,3,3
"4",-0.666666666666667,-0.375,-0.8125,-1.6875,1.1875,-1.28125,-0.296296296296296,-1.5,2.0625,-1,-1.75,-1.65625,0.21875,49,3,3
"4",0.333333333333333,0.625,0.1875,-0.6875,0.1875,-0.28125,0.703703703703704,-0.5,0.0625,-1,-0.75,-0.65625,0.21875,37,3,3
"4",-0.666666666666667,-1.375,0.1875,0.3125,-0.8125,1.71875,-0.296296296296296,0.5,-0.9375,1,0.25,0.34375,-0.78125,49,3,3
"4",NA,2.625,2.1875,1.3125,-0.8125,-2.28125,NA,-0.5,-0.9375,1,-0.75,-0.65625,0.21875,9,3,3
"4",-0.666666666666667,0.625,0.1875,1.3125,-0.8125,-0.28125,-0.296296296296296,1.5,-0.9375,0,1.25,1.34375,-0.78125,57,3,3
"4",-0.666666666666667,-1.375,-1.8125,1.3125,-0.8125,1.71875,-0.296296296296296,1.5,-0.9375,1,1.25,1.34375,-0.78125,53,3,3
"4",-0.666666666666667,1.625,1.1875,0.3125,2.1875,0.71875,0.703703703703704,0.5,2.0625,0,0.25,0.34375,2.21875,37,3,3
"4",-0.666666666666667,0.625,1.1875,-0.6875,1.1875,-1.28125,-2.2962962962963,-1.5,1.0625,-2,-1.75,-1.65625,2.21875,45,3,3
"4",0.333333333333333,-0.375,0.1875,0.3125,-0.8125,0.71875,-0.296296296296296,0.5,0.0625,0,-0.75,0.34375,0.21875,9,3,3
"4",1.33333333333333,-1.375,0.1875,0.3125,3.1875,-0.28125,-0.296296296296296,0.5,0.0625,0,0.25,0.34375,0.21875,5,3,3
"4",1.33333333333333,0.625,0.1875,-1.6875,2.1875,-1.28125,-0.296296296296296,-1.5,1.0625,0,-1.75,-0.65625,1.21875,49,3,3
"4",1.33333333333333,-1.375,0.1875,1.3125,-0.8125,1.71875,-0.296296296296296,-0.5,-0.9375,1,1.25,1.34375,-0.78125,9,3,3
"4",-0.666666666666667,0.625,0.1875,1.3125,-0.8125,-0.28125,1.7037037037037,0.5,1.0625,-1,1.25,1.34375,-0.78125,53,3,3
"4",1.33333333333333,-1.375,0.1875,0.3125,-0.8125,1.71875,0.703703703703704,0.5,-0.9375,1,1.25,0.34375,-0.78125,57,3,3
"4",NA,-0.375,0.1875,0.3125,0.1875,0.71875,NA,0.5,0.0625,0,0.25,0.34375,0.21875,5,2,3
"4",-0.666666666666667,-0.375,-0.8125,0.3125,0.1875,0.71875,1.7037037037037,0.5,-0.9375,-1,0.25,0.34375,2.21875,45,2,3
"4",-0.666666666666667,-0.375,2.1875,-0.6875,-0.8125,1.71875,1.7037037037037,0.5,0.0625,0,0.25,-0.65625,0.21875,49,2,3
"4",-0.666666666666667,-1.375,-0.8125,1.3125,-0.8125,1.71875,-0.296296296296296,1.5,-0.9375,1,1.25,1.34375,-0.78125,53,2,3
"4",-0.666666666666667,2.625,-1.8125,-2.6875,1.1875,-2.28125,-0.296296296296296,-2.5,3.0625,-3,-2.75,-2.65625,-0.78125,33,2,3
"4",0.333333333333333,-0.375,0.1875,0.3125,-0.8125,-0.28125,-0.296296296296296,-1.5,-0.9375,-1,1.25,0.34375,-0.78125,33,2,3
"4",NA,1.625,0.1875,0.3125,1.1875,-1.28125,NA,-0.5,-0.9375,1,-0.75,-0.65625,0.21875,41,2,3
"4",1.33333333333333,-1.375,-1.8125,1.3125,-0.8125,1.71875,-0.296296296296296,1.5,-0.9375,1,1.25,1.34375,-0.78125,5,2,3
"4",1.33333333333333,-1.375,0.1875,-1.6875,-0.8125,-2.28125,-0.296296296296296,-1.5,0.0625,-1,-0.75,1.34375,0.21875,5,2,3
"4",-0.666666666666667,0.625,-1.8125,-0.6875,-0.8125,-0.28125,-0.296296296296296,0.5,-0.9375,1,-0.75,-0.65625,-0.78125,53,2,3
"4",-0.666666666666667,0.625,0.1875,0.3125,0.1875,-1.28125,0.703703703703704,0.5,-0.9375,1,0.25,-1.65625,-0.78125,33,2,3
"5",0.17948717948718,0.191489361702128,0.723404255319149,0.0851063829787235,0.319148936170213,-0.148936170212766,0.179487179487179,-0.765957446808511,-0.021276595744681,-0.638297872340425,-0.425531914893617,0.340425531914894,0.74468085106383,5,2,4
"5",1.17948717948718,0.191489361702128,1.72340425531915,0.0851063829787235,2.31914893617021,-1.14893617021277,-0.820512820512821,0.234042553191489,0.978723404255319,0.361702127659575,-1.42553191489362,-0.659574468085106,0.74468085106383,41,1,4
"5",0.17948717948718,1.19148936170213,-1.27659574468085,-1.91489361702128,0.319148936170213,-0.148936170212766,-1.82051282051282,0.234042553191489,1.97872340425532,-0.638297872340425,-1.42553191489362,-0.659574468085106,0.74468085106383,41,1,4
"5",0.17948717948718,-0.808510638297872,1.72340425531915,-1.91489361702128,1.31914893617021,1.85106382978723,0.179487179487179,0.234042553191489,-2.02127659574468,0.361702127659575,1.57446808510638,1.34042553191489,-1.25531914893617,37,1,4
"5",NA,1.19148936170213,0.723404255319149,2.08510638297872,-0.680851063829787,0.851063829787234,NA,-0.765957446808511,-2.02127659574468,-0.638297872340425,0.574468085106383,1.34042553191489,-0.25531914893617,29,1,4
"5",-0.82051282051282,-0.808510638297872,-0.276595744680851,0.0851063829787235,0.319148936170213,-1.14893617021277,0.179487179487179,-0.765957446808511,-1.02127659574468,-0.638297872340425,0.574468085106383,-0.659574468085106,-0.25531914893617,45,1,4
"5",0.17948717948718,0.191489361702128,-0.276595744680851,0.0851063829787235,0.319148936170213,-1.14893617021277,0.179487179487179,-0.765957446808511,-0.021276595744681,-0.638297872340425,-1.42553191489362,-0.659574468085106,-0.25531914893617,45,1,4
"5",NA,2.19148936170213,2.72340425531915,2.08510638297872,0.319148936170213,-2.14893617021277,NA,-1.76595744680851,-1.02127659574468,1.36170212765957,-0.425531914893617,0.340425531914894,-1.25531914893617,49,1,4
"5",-0.82051282051282,-0.808510638297872,-0.276595744680851,-1.91489361702128,0.319148936170213,0.851063829787234,-0.820512820512821,-0.765957446808511,1.97872340425532,-0.638297872340425,-2.42553191489362,-1.65957446808511,-0.25531914893617,57,1,4
"5",-0.82051282051282,-0.808510638297872,0.723404255319149,0.0851063829787235,0.319148936170213,-0.148936170212766,0.179487179487179,0.234042553191489,-0.021276595744681,0.361702127659575,-0.425531914893617,0.340425531914894,0.74468085106383,53,1,4
"5",NA,2.19148936170213,-0.276595744680851,-1.91489361702128,1.31914893617021,-1.14893617021277,NA,0.234042553191489,1.97872340425532,-1.63829787234043,-1.42553191489362,-0.659574468085106,-0.25531914893617,37,1,4
"5",0.17948717948718,1.19148936170213,-0.276595744680851,0.0851063829787235,0.319148936170213,-0.148936170212766,0.179487179487179,0.234042553191489,1.97872340425532,0.361702127659575,-0.425531914893617,-0.659574468085106,0.74468085106383,49,1,4
"5",NA,2.19148936170213,0.723404255319149,1.08510638297872,0.319148936170213,0.851063829787234,NA,0.234042553191489,0.978723404255319,-1.63829787234043,0.574468085106383,0.340425531914894,1.74468085106383,41,1,4
"5",-0.82051282051282,0.191489361702128,2.72340425531915,1.08510638297872,-0.680851063829787,-0.148936170212766,1.17948717948718,1.23404255319149,-0.021276595744681,1.36170212765957,1.57446808510638,0.340425531914894,-1.25531914893617,37,7,4
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,2.08510638297872,-0.680851063829787,0.851063829787234,1.17948717948718,-0.765957446808511,-2.02127659574468,1.36170212765957,1.57446808510638,1.34042553191489,-1.25531914893617,25,7,4
"5",0.17948717948718,-0.808510638297872,-0.276595744680851,1.08510638297872,0.319148936170213,-1.14893617021277,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659575,0.574468085106383,0.340425531914894,-0.25531914893617,37,7,4
"5",0.17948717948718,1.19148936170213,0.723404255319149,1.08510638297872,-0.680851063829787,-0.148936170212766,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659575,0.574468085106383,0.340425531914894,-0.25531914893617,25,7,4
"5",0.17948717948718,0.191489361702128,-1.27659574468085,-1.91489361702128,1.31914893617021,-1.14893617021277,-0.820512820512821,-0.765957446808511,1.97872340425532,-0.638297872340425,-2.42553191489362,-1.65957446808511,-0.25531914893617,49,7,4
"5",0.17948717948718,-0.808510638297872,-0.276595744680851,-0.914893617021276,0.319148936170213,-0.148936170212766,0.179487179487179,0.234042553191489,0.978723404255319,0.361702127659575,0.574468085106383,-0.659574468085106,-0.25531914893617,37,7,4
"5",0.17948717948718,-1.80851063829787,-1.27659574468085,1.08510638297872,0.319148936170213,0.851063829787234,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659575,0.574468085106383,0.340425531914894,-0.25531914893617,25,7,4
"5",-0.82051282051282,-0.808510638297872,-1.27659574468085,-0.914893617021276,-0.680851063829787,-1.14893617021277,0.179487179487179,0.234042553191489,0.978723404255319,0.361702127659575,0.574468085106383,-0.659574468085106,-0.25531914893617,45,7,4
"5",0.17948717948718,1.19148936170213,0.723404255319149,1.08510638297872,0.319148936170213,0.851063829787234,0.179487179487179,0.234042553191489,-0.021276595744681,-0.638297872340425,0.574468085106383,0.340425531914894,0.74468085106383,29,6,4
"5",1.17948717948718,1.19148936170213,1.72340425531915,1.08510638297872,0.319148936170213,0.851063829787234,-0.820512820512821,0.234042553191489,-1.02127659574468,0.361702127659575,0.574468085106383,0.340425531914894,-0.25531914893617,21,6,4
"5",0.17948717948718,-0.808510638297872,-1.27659574468085,-1.91489361702128,-0.680851063829787,-2.14893617021277,-1.82051282051282,-0.765957446808511,1.97872340425532,-0.638297872340425,-0.425531914893617,-0.659574468085106,-0.25531914893617,29,6,4
"5",0.17948717948718,1.19148936170213,-0.276595744680851,-0.914893617021276,-0.680851063829787,-0.148936170212766,-0.820512820512821,0.234042553191489,-1.02127659574468,-1.63829787234043,-1.42553191489362,-1.65957446808511,0.74468085106383,33,6,4
"5",NA,2.19148936170213,-1.27659574468085,1.08510638297872,-0.680851063829787,0.851063829787234,NA,0.234042553191489,1.97872340425532,1.36170212765957,-1.42553191489362,-0.659574468085106,-0.25531914893617,41,6,4
"5",0.17948717948718,1.19148936170213,-1.27659574468085,-0.914893617021276,1.31914893617021,-1.14893617021277,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659575,0.574468085106383,0.340425531914894,1.74468085106383,33,6,4
"5",-0.82051282051282,0.191489361702128,0.723404255319149,-0.914893617021276,-0.680851063829787,0.851063829787234,1.17948717948718,1.23404255319149,-0.021276595744681,1.36170212765957,1.57446808510638,-0.659574468085106,-1.25531914893617,57,6,4
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,1.08510638297872,-0.680851063829787,1.85106382978723,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659575,0.574468085106383,1.34042553191489,-0.25531914893617,41,6,4
"5",NA,0.191489361702128,-0.276595744680851,0.0851063829787235,-0.680851063829787,-1.14893617021277,NA,0.234042553191489,-1.02127659574468,-2.63829787234043,-1.42553191489362,0.340425531914894,0.74468085106383,45,6,4
"5",0.17948717948718,-0.808510638297872,-0.276595744680851,-0.914893617021276,-0.680851063829787,-0.148936170212766,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659575,-0.425531914893617,0.340425531914894,-0.25531914893617,25,5,4
"5",0.17948717948718,-0.808510638297872,-0.276595744680851,0.0851063829787235,-0.680851063829787,-0.148936170212766,0.179487179487179,0.234042553191489,-0.021276595744681,0.361702127659575,0.574468085106383,-0.659574468085106,-0.25531914893617,37,5,4
"5",0.17948717948718,0.191489361702128,0.723404255319149,1.08510638297872,0.319148936170213,-1.14893617021277,0.179487179487179,-0.765957446808511,1.97872340425532,0.361702127659575,-1.42553191489362,-1.65957446808511,0.74468085106383,41,5,4
"5",0.17948717948718,-0.808510638297872,-0.276595744680851,-0.914893617021276,0.319148936170213,0.851063829787234,-0.820512820512821,-0.765957446808511,0.978723404255319,0.361702127659575,-1.42553191489362,-0.659574468085106,-0.25531914893617,37,5,4
"5",-0.82051282051282,1.19148936170213,-1.27659574468085,-0.914893617021276,-0.680851063829787,-0.148936170212766,-0.820512820512821,0.234042553191489,0.978723404255319,0.361702127659575,0.574468085106383,0.340425531914894,-0.25531914893617,29,5,4
"5",1.17948717948718,1.19148936170213,1.72340425531915,-1.91489361702128,0.319148936170213,-0.148936170212766,-0.820512820512821,0.234042553191489,1.97872340425532,-0.638297872340425,0.574468085106383,-0.659574468085106,0.74468085106383,17,5,4
"5",NA,0.191489361702128,0.723404255319149,-0.914893617021276,0.319148936170213,-1.14893617021277,NA,-1.76595744680851,-1.02127659574468,0.361702127659575,-0.425531914893617,0.340425531914894,0.74468085106383,57,5,4
"5",NA,2.19148936170213,0.723404255319149,-0.914893617021276,0.319148936170213,-0.148936170212766,NA,-1.76595744680851,1.97872340425532,0.361702127659575,-1.42553191489362,-0.659574468085106,1.74468085106383,45,5,4
"5",-0.82051282051282,-0.808510638297872,-1.27659574468085,2.08510638297872,-0.680851063829787,1.85106382978723,1.17948717948718,1.23404255319149,-2.02127659574468,1.36170212765957,1.57446808510638,1.34042553191489,2.74468085106383,53,4,4
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,2.08510638297872,-0.680851063829787,1.85106382978723,-0.820512820512821,1.23404255319149,-2.02127659574468,1.36170212765957,1.57446808510638,1.34042553191489,-1.25531914893617,29,4,4
"5",-0.82051282051282,-0.808510638297872,0.723404255319149,1.08510638297872,-0.680851063829787,0.851063829787234,1.17948717948718,0.234042553191489,-2.02127659574468,0.361702127659575,0.574468085106383,0.340425531914894,-1.25531914893617,49,4,4
"5",1.17948717948718,0.191489361702128,-1.27659574468085,0.0851063829787235,-0.680851063829787,-0.148936170212766,0.179487179487179,-0.765957446808511,-2.02127659574468,-0.638297872340425,0.574468085106383,0.340425531914894,0.74468085106383,25,4,4
"5",0.17948717948718,-0.808510638297872,1.72340425531915,-0.914893617021276,0.319148936170213,-0.148936170212766,0.179487179487179,0.234042553191489,1.97872340425532,0.361702127659575,0.574468085106383,0.340425531914894,-0.25531914893617,13,4,4
"5",1.17948717948718,-0.808510638297872,0.723404255319149,-0.914893617021276,-0.680851063829787,-2.14893617021277,-0.820512820512821,0.234042553191489,0.978723404255319,-1.63829787234043,-0.425531914893617,-0.659574468085106,-0.25531914893617,57,4,4
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,0.0851063829787235,-0.680851063829787,1.85106382978723,1.17948717948718,1.23404255319149,-1.02127659574468,1.36170212765957,0.574468085106383,1.34042553191489,-0.25531914893617,29,4,4
"5",2.17948717948718,-1.80851063829787,-1.27659574468085,0.0851063829787235,-0.680851063829787,1.85106382978723,1.17948717948718,1.23404255319149,0.978723404255319,-2.63829787234043,1.57446808510638,1.34042553191489,-1.25531914893617,25,4,4
"5",-0.82051282051282,-1.80851063829787,-0.276595744680851,1.08510638297872,0.319148936170213,0.851063829787234,0.179487179487179,0.234042553191489,-2.02127659574468,0.361702127659575,0.574468085106383,0.340425531914894,-1.25531914893617,53,4,4
"6",NA,1.09090909090909,1.45454545454545,1.54545454545455,-0.818181818181818,-1.09090909090909,NA,-0.727272727272727,0.181818181818182,0.0909090909090908,-0.272727272727273,1.09090909090909,-0.909090909090909,41,4,5
"6",NA,1.09090909090909,1.45454545454545,0.545454545454545,-0.818181818181818,-0.0909090909090908,NA,0.272727272727273,-0.818181818181818,1.09090909090909,0.727272727272727,1.09090909090909,-0.909090909090909,37,4,5
"6",0,0.0909090909090908,0.454545454545455,-0.454545454545455,-0.818181818181818,0.909090909090909,-0.333333333333333,-0.727272727272727,-0.818181818181818,-0.909090909090909,0.727272727272727,0.0909090909090908,1.09090909090909,33,4,5
"6",0,-1.90909090909091,-1.54545454545455,0.545454545454545,0.181818181818182,0.909090909090909,-0.333333333333333,0.272727272727273,-1.81818181818182,-1.90909090909091,0.727272727272727,0.0909090909090908,0.0909090909090908,57,3,5
"6",0,0.0909090909090908,-1.54545454545455,-1.45454545454545,1.18181818181818,-0.0909090909090908,-0.333333333333333,-1.72727272727273,2.18181818181818,0.0909090909090908,-1.27272727272727,-0.909090909090909,0.0909090909090908,53,3,5
"6",NA,0.0909090909090908,-0.545454545454545,0.545454545454545,-0.818181818181818,-0.0909090909090908,NA,1.27272727272727,-0.818181818181818,0.0909090909090908,0.727272727272727,1.09090909090909,0.0909090909090908,57,3,5
"6",NA,1.09090909090909,1.45454545454545,0.545454545454545,0.181818181818182,-1.09090909090909,NA,0.272727272727273,-0.818181818181818,0.0909090909090908,-0.272727272727273,0.0909090909090908,1.09090909090909,45,3,5
"6",0,-1.90909090909091,-0.545454545454545,0.545454545454545,0.181818181818182,1.90909090909091,1.66666666666667,1.27272727272727,-0.818181818181818,0.0909090909090908,-0.272727272727273,0.0909090909090908,0.0909090909090908,25,3,5
"6",0,1.09090909090909,-1.54545454545455,-2.45454545454545,2.18181818181818,-1.09090909090909,-0.333333333333333,-0.727272727272727,2.18181818181818,0.0909090909090908,-1.27272727272727,-1.90909090909091,-0.909090909090909,21,3,5
"6",NA,0.0909090909090908,1.45454545454545,0.545454545454545,0.181818181818182,-1.09090909090909,NA,-0.727272727272727,0.181818181818182,0.0909090909090908,-0.272727272727273,0.0909090909090908,1.09090909090909,9,3,5
"6",0,-0.909090909090909,-0.545454545454545,-0.454545454545455,-0.818181818181818,0.909090909090909,-0.333333333333333,1.27272727272727,1.18181818181818,1.09090909090909,0.727272727272727,-0.909090909090909,-0.909090909090909,25,3,5
"8",NA,-0.153846153846154,-1.53846153846154,0.519230769230769,-0.653846153846154,-0.442307692307693,NA,1,0.0192307692307692,0.192307692307693,1.13461538461538,-0.0192307692307692,-0.480769230769231,49,3,7
"8",0,-1.15384615384615,-0.538461538461538,-0.480769230769231,-0.653846153846154,-0.442307692307693,1.1,1,-0.980769230769231,-1.80769230769231,0.134615384615385,-0.0192307692307692,-0.480769230769231,37,3,7
