"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","authentic","SE","Happy","Lonely","day","real_order","pos_emotion","neg_emotion"
"5",-0.82051282051282,0.191489361702128,2.72340425531915,1.08510638297872,-0.680851063829787,-0.148936170212766,1.17948717948718,1.23404255319149,-0.0212765957446809,1.36170212765957,1.57446808510638,0.340425531914894,-1.25531914893617,5.48936170212766,1.95744680851064,NA,NA
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,2.08510638297872,-0.680851063829787,0.851063829787234,1.17948717948718,-0.765957446808511,-2.02127659574468,1.36170212765957,1.57446808510638,1.34042553191489,-1.25531914893617,1.48936170212766,0.957446808510638,NA,NA
"5",0.179487179487179,-0.808510638297872,-0.276595744680851,1.08510638297872,0.319148936170213,-1.14893617021277,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659574,0.574468085106383,0.340425531914894,-0.25531914893617,-2.51063829787234,-0.042553191489362,NA,NA
"5",0.179487179487179,1.19148936170213,0.723404255319149,1.08510638297872,-0.680851063829787,-0.148936170212766,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659574,0.574468085106383,0.340425531914894,-0.25531914893617,-6.51063829787234,-1.04255319148936,NA,NA
"5",0.179487179487179,0.191489361702128,-1.27659574468085,-1.91489361702128,1.31914893617021,-1.14893617021277,-0.82051282051282,-0.765957446808511,1.97872340425532,-0.638297872340426,-2.42553191489362,-1.65957446808511,-0.25531914893617,-10.5106382978723,-2.04255319148936,NA,NA
"5",0.179487179487179,-0.808510638297872,-0.276595744680851,-0.914893617021277,0.319148936170213,-0.148936170212766,0.179487179487179,0.234042553191489,0.978723404255319,0.361702127659574,0.574468085106383,-0.659574468085106,-0.25531914893617,-14.5106382978723,-3.04255319148936,NA,NA
"5",0.179487179487179,-1.80851063829787,-1.27659574468085,1.08510638297872,0.319148936170213,0.851063829787234,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659574,0.574468085106383,0.340425531914894,-0.25531914893617,-18.5106382978723,2.95744680851064,NA,NA
"5",-0.82051282051282,-0.808510638297872,-1.27659574468085,-0.914893617021277,-0.680851063829787,-1.14893617021277,0.179487179487179,0.234042553191489,0.978723404255319,0.361702127659574,0.574468085106383,-0.659574468085106,-0.25531914893617,-22.5106382978723,1.95744680851064,NA,NA
"5",0.179487179487179,1.19148936170213,0.723404255319149,1.08510638297872,0.319148936170213,0.851063829787234,0.179487179487179,0.234042553191489,-0.0212765957446809,-0.638297872340426,0.574468085106383,0.340425531914894,0.74468085106383,30.4893617021277,0.957446808510638,NA,NA
"5",1.17948717948718,1.19148936170213,1.72340425531915,1.08510638297872,0.319148936170213,0.851063829787234,-0.82051282051282,0.234042553191489,-1.02127659574468,0.361702127659574,0.574468085106383,0.340425531914894,-0.25531914893617,26.4893617021277,-0.042553191489362,NA,NA
"5",0.179487179487179,-0.808510638297872,-1.27659574468085,-1.91489361702128,-0.680851063829787,-2.14893617021277,-1.82051282051282,-0.765957446808511,1.97872340425532,-0.638297872340426,-0.425531914893617,-0.659574468085106,-0.25531914893617,22.4893617021277,-1.04255319148936,NA,NA
"5",0.179487179487179,1.19148936170213,-0.276595744680851,-0.914893617021277,-0.680851063829787,-0.148936170212766,-0.82051282051282,0.234042553191489,-1.02127659574468,-1.63829787234043,-1.42553191489362,-1.65957446808511,0.74468085106383,18.4893617021277,-2.04255319148936,NA,NA
"5",NA,2.19148936170213,-1.27659574468085,1.08510638297872,-0.680851063829787,0.851063829787234,NA,0.234042553191489,1.97872340425532,1.36170212765957,-1.42553191489362,-0.659574468085106,-0.25531914893617,14.4893617021277,-3.04255319148936,NA,NA
