"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","authentic","SE","Happy","Lonely","day","real_order","pos_emotion","neg_emotion"
"10208",2.18918918918919,1.29787234042553,0.574468085106383,-1.21276595744681,1.78723404255319,-1.59574468085106,-0.513513513513513,-0.595744680851064,1.12765957446809,-0.553191489361702,-0.106382978723404,-1.68085106382979,-0.170212765957447,8,-0.553191489361702,-1.40327178088983,1.83936539414973
"10208",-0.810810810810811,1.29787234042553,0.574468085106383,-0.212765957446808,-0.212765957446808,-0.595744680851064,-0.513513513513513,0.404255319148936,-0.872340425531915,-0.553191489361702,-0.106382978723404,0.319148936170213,-0.170212765957447,4,-1.5531914893617,0.596728219110175,-0.160634605850273
"10208",0.189189189189189,-1.70212765957447,-1.42553191489362,-0.212765957446808,-0.212765957446808,1.40425531914894,0.486486486486487,0.404255319148936,0.127659574468085,1.4468085106383,-0.106382978723404,0.319148936170213,-0.170212765957447,0,-2.5531914893617,0.596728219110175,-0.160634605850273
"10208",-0.810810810810811,-2.70212765957447,-0.425531914893617,0.787234042553192,-0.212765957446808,1.40425531914894,0.486486486486487,0.404255319148936,-0.872340425531915,0.446808510638298,0.893617021276596,1.31914893617021,-0.170212765957447,-4,3.4468085106383,1.59672821911017,-0.160634605850273
"10208",-0.810810810810811,-1.70212765957447,0.574468085106383,0.787234042553192,-0.212765957446808,1.40425531914894,0.486486486486487,0.404255319148936,-0.872340425531915,0.446808510638298,0.893617021276596,1.31914893617021,-0.170212765957447,-12,1.4468085106383,1.59672821911017,-1.16063460585027
"10208",0.189189189189189,-1.70212765957447,-1.42553191489362,0.787234042553192,0.787234042553192,2.40425531914894,0.486486486486487,-0.595744680851064,0.127659574468085,-0.553191489361702,-0.106382978723404,0.319148936170213,-0.170212765957447,-16,0.446808510638298,1.59672821911017,-0.160634605850273
"10208",0.189189189189189,-0.702127659574468,0.574468085106383,-1.21276595744681,-0.212765957446808,0.404255319148936,0.486486486486487,-0.595744680851064,0.127659574468085,-0.553191489361702,-0.106382978723404,-0.680851063829787,-0.170212765957447,-20,-0.553191489361702,-0.403271780889825,-0.160634605850273
"10208",1.18918918918919,-0.702127659574468,0.574468085106383,-0.212765957446808,-0.212765957446808,1.40425531914894,-0.513513513513513,0.404255319148936,-0.872340425531915,0.446808510638298,-0.106382978723404,0.319148936170213,-0.170212765957447,-24,-1.5531914893617,0.596728219110175,-1.16063460585027
"10208",-0.810810810810811,0.297872340425532,-1.42553191489362,0.787234042553192,-0.212765957446808,-0.595744680851064,-0.513513513513513,0.404255319148936,-0.872340425531915,-0.553191489361702,-0.106382978723404,0.319148936170213,-0.170212765957447,29,-2.5531914893617,0.596728219110175,-1.16063460585027
"10208",-0.810810810810811,-0.702127659574468,1.57446808510638,0.787234042553192,-0.212765957446808,1.40425531914894,0.486486486486487,0.404255319148936,0.127659574468085,-0.553191489361702,-0.106382978723404,1.31914893617021,-0.170212765957447,25,3.4468085106383,1.59672821911017,-0.160634605850273
"10208",0.189189189189189,0.297872340425532,1.57446808510638,-1.21276595744681,-0.212765957446808,-0.595744680851064,1.48648648648649,-0.595744680851064,1.12765957446809,-0.553191489361702,-0.106382978723404,-0.680851063829787,-0.170212765957447,21,2.4468085106383,-0.403271780889825,-0.160634605850273
"10208",NA,-1.70212765957447,0.574468085106383,0.787234042553192,-0.212765957446808,2.40425531914894,NA,0.404255319148936,0.127659574468085,-0.553191489361702,-0.106382978723404,0.319148936170213,-0.170212765957447,17,1.4468085106383,1.59672821911017,-0.160634605850273
"10208",0.189189189189189,0.297872340425532,-0.425531914893617,-1.21276595744681,0.787234042553192,-0.595744680851064,-0.513513513513513,0.404255319148936,1.12765957446809,-0.553191489361702,-0.106382978723404,-0.680851063829787,-0.170212765957447,9,-0.553191489361702,-0.403271780889825,0.839365394149727
"10208",NA,1.29787234042553,-1.42553191489362,-0.212765957446808,-0.212765957446808,-1.59574468085106,NA,0.404255319148936,1.12765957446809,0.446808510638298,-0.106382978723404,-0.680851063829787,-0.170212765957447,1,-2.5531914893617,-0.403271780889825,-0.160634605850273
"10208",-0.810810810810811,-0.702127659574468,-1.42553191489362,0.787234042553192,-0.212765957446808,0.404255319148936,-0.513513513513513,-0.595744680851064,-0.872340425531915,0.446808510638298,-0.106382978723404,0.319148936170213,-0.170212765957447,-3,3.4468085106383,0.596728219110175,-1.16063460585027
"10208",-0.810810810810811,-0.702127659574468,0.574468085106383,0.787234042553192,-0.212765957446808,1.40425531914894,1.48648648648649,-0.595744680851064,-0.872340425531915,1.4468085106383,-0.106382978723404,1.31914893617021,-0.170212765957447,-7,2.4468085106383,1.59672821911017,-1.16063460585027
"10208",NA,1.29787234042553,0.574468085106383,0.787234042553192,-0.212765957446808,-1.59574468085106,NA,-0.595744680851064,0.127659574468085,1.4468085106383,-0.106382978723404,-0.680851063829787,0.829787234042553,-15,0.446808510638298,-0.403271780889825,-0.160634605850273
"10208",1.18918918918919,-2.70212765957447,-0.425531914893617,-1.21276595744681,0.787234042553192,-0.595744680851064,-0.513513513513513,-0.595744680851064,0.127659574468085,-0.553191489361702,-0.106382978723404,-0.680851063829787,-0.170212765957447,-19,-0.553191489361702,-0.403271780889825,0.839365394149727
"10208",-0.810810810810811,0.297872340425532,0.574468085106383,-1.21276595744681,-0.212765957446808,-0.595744680851064,-0.513513513513513,0.404255319148936,0.127659574468085,-0.553191489361702,-0.106382978723404,0.319148936170213,0.829787234042553,-23,-1.5531914893617,0.596728219110175,-0.160634605850273
"10208",-0.810810810810811,1.29787234042553,-1.42553191489362,0.787234042553192,-0.212765957446808,0.404255319148936,-0.513513513513513,0.404255319148936,-0.872340425531915,-0.553191489361702,-0.106382978723404,0.319148936170213,-0.170212765957447,30,-2.5531914893617,0.596728219110175,-0.160634605850273
"10208",NA,1.29787234042553,1.57446808510638,0.787234042553192,0.787234042553192,-1.59574468085106,NA,-0.595744680851064,1.12765957446809,-0.553191489361702,-0.106382978723404,-0.680851063829787,-0.170212765957447,26,3.4468085106383,-0.403271780889825,0.839365394149727
"10208",0.189189189189189,1.29787234042553,-1.42553191489362,0.787234042553192,-0.212765957446808,0.404255319148936,-0.513513513513513,0.404255319148936,0.127659574468085,-0.553191489361702,-0.106382978723404,0.319148936170213,-0.170212765957447,14,0.446808510638298,0.596728219110175,-0.160634605850273
"10208",NA,1.29787234042553,-1.42553191489362,0.787234042553192,-0.212765957446808,-1.59574468085106,NA,1.40425531914894,1.12765957446809,-0.553191489361702,-0.106382978723404,0.319148936170213,-0.170212765957447,10,-0.553191489361702,0.596728219110175,-0.160634605850273
"10208",1.18918918918919,1.29787234042553,0.574468085106383,-0.212765957446808,-0.212765957446808,-1.59574468085106,-0.513513513513513,-1.59574468085106,-0.872340425531915,-0.553191489361702,-0.106382978723404,-0.680851063829787,-0.170212765957447,6,-1.5531914893617,0.596728219110175,0.839365394149727
"10208",NA,1.29787234042553,-0.425531914893617,-0.212765957446808,0.787234042553192,0.404255319148936,NA,0.404255319148936,0.127659574468085,1.4468085106383,-1.1063829787234,-0.680851063829787,-0.170212765957447,2,-2.5531914893617,0.596728219110175,-0.160634605850273
"10208",NA,1.29787234042553,2.57446808510638,0.787234042553192,-0.212765957446808,-1.59574468085106,NA,-0.595744680851064,-0.872340425531915,-0.553191489361702,-0.106382978723404,0.319148936170213,-0.170212765957447,-2,3.4468085106383,-0.403271780889825,-1.16063460585027
"10208",-0.810810810810811,-0.702127659574468,0.574468085106383,0.787234042553192,-0.212765957446808,0.404255319148936,-0.513513513513513,-0.595744680851064,-0.872340425531915,-0.553191489361702,-0.106382978723404,0.319148936170213,-0.170212765957447,-6,2.4468085106383,0.596728219110175,-0.160634605850273
"10208",NA,1.29787234042553,0.574468085106383,0.787234042553192,-0.212765957446808,0.404255319148936,NA,-0.595744680851064,-0.872340425531915,1.4468085106383,-0.106382978723404,-0.680851063829787,-0.170212765957447,-14,0.446808510638298,-0.403271780889825,-1.16063460585027
"10208",0.189189189189189,-0.702127659574468,-0.425531914893617,-0.212765957446808,-0.212765957446808,0.404255319148936,0.486486486486487,0.404255319148936,0.127659574468085,0.446808510638298,-0.106382978723404,0.319148936170213,-0.170212765957447,-18,-0.553191489361702,0.596728219110175,-0.160634605850273
"10208",0.189189189189189,-0.702127659574468,-0.425531914893617,0.787234042553192,-0.212765957446808,1.40425531914894,0.486486486486487,-0.595744680851064,-0.872340425531915,0.446808510638298,0.893617021276596,1.31914893617021,-0.170212765957447,-22,-1.5531914893617,1.59672821911017,-0.160634605850273
"10208",0.189189189189189,-1.70212765957447,0.574468085106383,-0.212765957446808,0.787234042553192,0.404255319148936,0.486486486486487,-0.595744680851064,0.127659574468085,0.446808510638298,-0.106382978723404,0.319148936170213,0.829787234042553,-26,-2.5531914893617,0.596728219110175,-0.160634605850273
"10208",-0.810810810810811,-0.702127659574468,0.574468085106383,-0.212765957446808,-0.212765957446808,0.404255319148936,-0.513513513513513,0.404255319148936,-0.872340425531915,0.446808510638298,-0.106382978723404,-0.680851063829787,0.829787234042553,-28,-2.5531914893617,0.596728219110175,-0.160634605850273
"10210",NA,0.9,1.9,-0.0666666666666667,-0.433333333333333,-1.03333333333333,NA,-1.03333333333333,-0.666666666666667,-0.633333333333333,-0.793103448275862,-1.06666666666667,-0.666666666666667,31.9666666666667,-1.53333333333333,0.596728219110175,-1.16063460585027
"10210",-0.454545454545455,-1.1,-1.1,-1.06666666666667,0.566666666666667,-1.03333333333333,0.5,0.966666666666667,1.33333333333333,-0.633333333333333,0.206896551724138,-0.0666666666666667,1.33333333333333,27.9666666666667,-2.53333333333333,-0.403271780889825,0.839365394149727
"10210",NA,-0.1,0.9,-1.06666666666667,0.566666666666667,-1.03333333333333,NA,-1.03333333333333,1.33333333333333,1.36666666666667,-0.793103448275862,-0.0666666666666667,1.33333333333333,23.9666666666667,3.46666666666667,1.59672821911017,-1.16063460585027
"10210",-0.454545454545455,-1.1,-1.1,-1.06666666666667,-0.433333333333333,0.966666666666667,-0.5,-1.03333333333333,-0.666666666666667,-2.63333333333333,0.206896551724138,-0.0666666666666667,-0.666666666666667,11.9666666666667,0.466666666666667,-0.403271780889825,-1.16063460585027
"10210",0.545454545454545,0.9,-1.1,0.933333333333333,-0.433333333333333,-1.03333333333333,-0.5,0.966666666666667,-0.666666666666667,1.36666666666667,1.20689655172414,0.933333333333333,-0.666666666666667,3.96666666666667,-1.53333333333333,1.59672821911017,-1.16063460585027
"10210",NA,0.9,1.9,0.933333333333333,-0.433333333333333,0.966666666666667,NA,-1.03333333333333,1.33333333333333,0.366666666666667,1.20689655172414,0.933333333333333,2.33333333333333,-0.033333333333335,-2.53333333333333,1.59672821911017,-0.160634605850273
"10210",NA,0.9,2.9,0.933333333333333,-0.433333333333333,-1.03333333333333,NA,-1.03333333333333,-0.666666666666667,1.36666666666667,-0.793103448275862,0.933333333333333,-0.666666666666667,-4.03333333333333,3.46666666666667,1.59672821911017,-1.16063460585027
"10210",-0.454545454545455,0.9,-1.1,0.933333333333333,-0.433333333333333,-1.03333333333333,1.5,0.966666666666667,-0.666666666666667,1.36666666666667,1.20689655172414,0.933333333333333,-0.666666666666667,-12.0333333333333,1.46666666666667,1.59672821911017,-1.16063460585027
"10210",0.545454545454545,0.9,-1.1,-3.06666666666667,0.566666666666667,-1.03333333333333,-0.5,0.966666666666667,1.33333333333333,-0.633333333333333,-0.793103448275862,-2.06666666666667,1.33333333333333,-20.0333333333333,-0.533333333333333,NA,0.839365394149727
"10210",-0.454545454545455,-1.1,-1.1,-0.0666666666666667,-0.433333333333333,2.96666666666667,0.5,-1.03333333333333,-0.666666666666667,0.366666666666667,-0.793103448275862,0.933333333333333,0.333333333333333,-24.0333333333333,-1.53333333333333,0.596728219110175,-0.160634605850273
"10210",-0.454545454545455,0.9,-1.1,-1.06666666666667,0.566666666666667,-1.03333333333333,-1.5,-1.03333333333333,-0.666666666666667,-0.633333333333333,-0.793103448275862,-1.06666666666667,-0.666666666666667,32.9666666666667,-1.53333333333333,-0.403271780889825,-1.16063460585027
"10210",0.545454545454545,0.9,-1.1,0.933333333333333,-0.433333333333333,-1.03333333333333,0.5,0.966666666666667,-0.666666666666667,1.36666666666667,1.20689655172414,0.933333333333333,-0.666666666666667,16.9666666666667,1.46666666666667,1.59672821911017,-1.16063460585027
"10210",-0.454545454545455,0.9,-1.1,0.933333333333333,-0.433333333333333,-1.03333333333333,-0.5,0.966666666666667,-0.666666666666667,1.36666666666667,1.20689655172414,0.933333333333333,-0.666666666666667,8.96666666666667,-0.533333333333333,1.59672821911017,-1.16063460585027
"10210",NA,0.9,-1.1,0.933333333333333,-0.433333333333333,-1.03333333333333,NA,0.966666666666667,-0.666666666666667,1.36666666666667,1.20689655172414,0.933333333333333,-0.666666666666667,4.96666666666667,-1.53333333333333,1.59672821911017,-1.16063460585027
"10210",0.545454545454545,0.9,0.9,-0.0666666666666667,1.56666666666667,0.966666666666667,0.5,-1.03333333333333,0.333333333333333,-0.633333333333333,0.206896551724138,0.933333333333333,1.33333333333333,0.966666666666665,-2.53333333333333,0.596728219110175,-1.16063460585027
"10210",1.54545454545455,-0.1,-0.1,-3.06666666666667,1.56666666666667,-1.03333333333333,-1.5,-1.03333333333333,1.33333333333333,-2.63333333333333,-0.793103448275862,-2.06666666666667,1.33333333333333,-3.03333333333333,3.46666666666667,-1.40327178088983,1.83936539414973
"10210",-0.454545454545455,0.9,-1.1,0.933333333333333,-0.433333333333333,0.966666666666667,1.5,0.966666666666667,-0.666666666666667,-0.633333333333333,-0.793103448275862,-1.06666666666667,-0.666666666666667,-11.0333333333333,1.46666666666667,-0.403271780889825,-1.16063460585027
"10210",-0.454545454545455,-3.1,-1.1,0.933333333333333,-0.433333333333333,2.96666666666667,1.5,0.966666666666667,-0.666666666666667,1.36666666666667,0.206896551724138,0.933333333333333,-0.666666666666667,-15.0333333333333,0.466666666666667,1.59672821911017,-1.16063460585027
"10210",0.545454545454545,-1.1,-1.1,0.933333333333333,-0.433333333333333,0.966666666666667,-0.5,0.966666666666667,-0.666666666666667,1.36666666666667,0.206896551724138,0.933333333333333,-0.666666666666667,-19.0333333333333,-0.533333333333333,0.596728219110175,-1.16063460585027
"10210",-0.454545454545455,0.9,0.9,0.933333333333333,-0.433333333333333,-1.03333333333333,-0.5,-1.03333333333333,-0.666666666666667,0.366666666666667,NA,0.933333333333333,1.33333333333333,-23.0333333333333,-1.53333333333333,NA,2.83936539414973
"10210",-0.454545454545455,0.9,0.9,-1.06666666666667,-0.433333333333333,-1.03333333333333,-0.5,0.966666666666667,1.33333333333333,-0.633333333333333,0.206896551724138,-1.06666666666667,-0.666666666666667,17.9666666666667,1.46666666666667,-0.403271780889825,-1.16063460585027
"10210",NA,0.9,-1.1,0.933333333333333,-0.433333333333333,-1.03333333333333,NA,0.966666666666667,-0.666666666666667,-0.633333333333333,0.206896551724138,0.933333333333333,-0.666666666666667,9.96666666666667,-0.533333333333333,1.59672821911017,-1.16063460585027
"10210",NA,0.9,2.9,0.933333333333333,1.56666666666667,-1.03333333333333,NA,0.966666666666667,1.33333333333333,-2.63333333333333,0.206896551724138,-1.06666666666667,-0.666666666666667,-14.0333333333333,0.466666666666667,-0.403271780889825,0.839365394149727
"10210",NA,0.9,2.9,0.933333333333333,-0.433333333333333,-1.03333333333333,NA,-3.03333333333333,-0.666666666666667,1.36666666666667,1.20689655172414,0.933333333333333,-0.666666666666667,26.9666666666667,3.46666666666667,1.59672821911017,-0.160634605850273
"10210",0.545454545454545,-0.1,0.9,-1.06666666666667,0.566666666666667,1.96666666666667,-0.5,-1.03333333333333,0.333333333333333,-2.63333333333333,-0.793103448275862,-1.06666666666667,1.33333333333333,6.96666666666667,-1.53333333333333,0.596728219110175,-0.160634605850273
"10210",1.54545454545455,-1.1,-1.1,0.933333333333333,-0.433333333333333,0.966666666666667,0.5,-0.0333333333333333,-0.666666666666667,0.366666666666667,0.206896551724138,-3.06666666666667,1.33333333333333,-5.03333333333333,2.46666666666667,-2.40327178088983,0.839365394149727
"10210",-0.454545454545455,-1.1,-1.1,-3.06666666666667,1.56666666666667,-1.03333333333333,0.5,-0.0333333333333333,2.33333333333333,-0.633333333333333,-1.79310344827586,-1.06666666666667,-0.666666666666667,-13.0333333333333,0.466666666666667,-0.403271780889825,-1.16063460585027
"10210",-0.454545454545455,-3.1,2.9,0.933333333333333,-0.433333333333333,1.96666666666667,0.5,0.966666666666667,-0.666666666666667,0.366666666666667,-0.793103448275862,0.933333333333333,-0.666666666666667,-17.0333333333333,-0.533333333333333,0.596728219110175,-1.16063460585027
"10210",-0.454545454545455,-3.1,-1.1,0.933333333333333,-0.433333333333333,2.96666666666667,0.5,-0.0333333333333333,-0.666666666666667,-0.633333333333333,0.206896551724138,0.933333333333333,-0.666666666666667,-21.0333333333333,-1.53333333333333,1.59672821911017,-1.16063460585027
"10210",-0.454545454545455,0.9,-1.1,-0.0666666666666667,-0.433333333333333,-0.0333333333333333,-1.5,0.966666666666667,0.333333333333333,1.36666666666667,-0.793103448275862,-0.0666666666666667,-0.666666666666667,-25.0333333333333,-1.53333333333333,0.596728219110175,-0.160634605850273
"10212",NA,0.274509803921569,0.117647058823529,-1.72549019607843,-0.0392156862745098,-0.215686274509804,NA,-0.0588235294117647,1.25490196078431,0.274509803921569,-0.764705882352941,0.333333333333333,0.588235294117647,27.4705882352941,-1.82352941176471,-0.403271780889825,-0.160634605850273
"10212",-0.137931034482759,-1.72549019607843,0.117647058823529,0.274509803921569,-0.0392156862745098,1.7843137254902,0.620689655172414,0.941176470588235,-0.745098039215686,0.274509803921569,1.23529411764706,0.333333333333333,0.588235294117647,23.4705882352941,-2.82352941176471,0.596728219110175,-1.16063460585027
"10212",NA,1.27450980392157,0.117647058823529,1.27450980392157,-0.0392156862745098,-1.2156862745098,NA,-0.0588235294117647,-0.745098039215686,0.274509803921569,1.23529411764706,1.33333333333333,-0.411764705882353,19.4705882352941,3.17647058823529,0.596728219110175,-1.16063460585027
"10212",-0.137931034482759,0.274509803921569,-0.882352941176471,1.27450980392157,-0.0392156862745098,0.784313725490196,-0.379310344827586,-0.0588235294117647,-0.745098039215686,0.274509803921569,-0.764705882352941,1.33333333333333,-0.411764705882353,15.4705882352941,2.17647058823529,1.59672821911017,-0.160634605850273
"10212",NA,-0.725490196078431,0.117647058823529,0.274509803921569,-0.0392156862745098,-0.215686274509804,NA,-1.05882352941176,0.254901960784314,0.274509803921569,-0.764705882352941,-1.66666666666667,2.58823529411765,11.4705882352941,1.17647058823529,-0.403271780889825,-0.160634605850273
"10212",NA,0.274509803921569,2.11764705882353,-0.725490196078431,-0.0392156862745098,-1.2156862745098,NA,-1.05882352941176,0.254901960784314,-0.725490196078431,-0.764705882352941,-0.666666666666667,-0.411764705882353,7.47058823529412,0.176470588235294,-1.40327178088983,0.839365394149727
"10212",-0.137931034482759,0.274509803921569,0.117647058823529,-1.72549019607843,-0.0392156862745098,-1.2156862745098,-0.379310344827586,-0.0588235294117647,1.25490196078431,-1.72549019607843,-0.764705882352941,-1.66666666666667,0.588235294117647,-0.529411764705884,-1.82352941176471,-1.40327178088983,1.83936539414973
"10212",NA,0.274509803921569,0.117647058823529,0.274509803921569,-0.0392156862745098,-0.215686274509804,NA,-0.0588235294117647,-0.745098039215686,1.27450980392157,0.235294117647059,-0.666666666666667,-0.411764705882353,-4.52941176470588,-2.82352941176471,-0.403271780889825,-1.16063460585027
"10212",-0.137931034482759,0.274509803921569,2.11764705882353,0.274509803921569,-0.0392156862745098,-0.215686274509804,0.620689655172414,0.941176470588235,-0.745098039215686,0.274509803921569,0.235294117647059,0.333333333333333,-0.411764705882353,-8.52941176470588,3.17647058823529,0.596728219110175,-1.16063460585027
"10212",-0.137931034482759,-0.725490196078431,0.117647058823529,1.27450980392157,-0.0392156862745098,1.7843137254902,-0.379310344827586,-0.0588235294117647,0.254901960784314,1.27450980392157,0.235294117647059,0.333333333333333,-0.411764705882353,-12.5294117647059,2.17647058823529,0.596728219110175,-0.160634605850273
"10212",-0.137931034482759,0.274509803921569,-0.882352941176471,-1.72549019607843,-0.0392156862745098,-1.2156862745098,0.620689655172414,-1.05882352941176,2.25490196078431,1.27450980392157,0.235294117647059,-0.666666666666667,-0.411764705882353,-16.5294117647059,1.17647058823529,0.596728219110175,0.839365394149727
"10212",-0.137931034482759,-0.725490196078431,0.117647058823529,0.274509803921569,-0.0392156862745098,-0.215686274509804,-0.379310344827586,-0.0588235294117647,0.254901960784314,0.274509803921569,0.235294117647059,-0.666666666666667,1.58823529411765,-20.5294117647059,0.176470588235294,-0.403271780889825,-0.160634605850273
"10212",-0.137931034482759,-2.72549019607843,-0.882352941176471,0.274509803921569,-0.0392156862745098,2.7843137254902,-0.379310344827586,0.941176470588235,-0.745098039215686,-0.725490196078431,1.23529411764706,0.333333333333333,-0.411764705882353,-24.5294117647059,-0.823529411764706,0.596728219110175,-1.16063460585027
"10212",-0.137931034482759,-0.725490196078431,-0.882352941176471,0.274509803921569,-0.0392156862745098,0.784313725490196,0.620689655172414,0.941176470588235,-0.745098039215686,0.274509803921569,0.235294117647059,0.333333333333333,-0.411764705882353,28.4705882352941,-1.82352941176471,0.596728219110175,-1.16063460585027
"10212",NA,1.27450980392157,0.117647058823529,1.27450980392157,-0.0392156862745098,-1.2156862745098,NA,-0.0588235294117647,-0.745098039215686,0.274509803921569,0.235294117647059,0.333333333333333,-0.411764705882353,24.4705882352941,-2.82352941176471,-0.403271780889825,-1.16063460585027
"10212",NA,1.27450980392157,-0.882352941176471,1.27450980392157,-0.0392156862745098,-0.215686274509804,NA,0.941176470588235,-0.745098039215686,1.27450980392157,0.235294117647059,0.333333333333333,-0.411764705882353,20.4705882352941,3.17647058823529,0.596728219110175,-1.16063460585027
"10212",-0.137931034482759,1.27450980392157,1.11764705882353,-0.725490196078431,-0.0392156862745098,-0.215686274509804,-0.379310344827586,-0.0588235294117647,0.254901960784314,-0.725490196078431,-1.76470588235294,0.333333333333333,-0.411764705882353,16.4705882352941,2.17647058823529,-0.403271780889825,-1.16063460585027
"10212",NA,1.27450980392157,-0.882352941176471,-1.72549019607843,-0.0392156862745098,-0.215686274509804,NA,0.941176470588235,2.25490196078431,0.274509803921569,-0.764705882352941,-1.66666666666667,-0.411764705882353,12.4705882352941,1.17647058823529,-1.40327178088983,1.83936539414973
"10212",NA,0.274509803921569,0.117647058823529,-0.725490196078431,-0.0392156862745098,-0.215686274509804,NA,-1.05882352941176,0.254901960784314,-0.725490196078431,-1.76470588235294,-1.66666666666667,0.588235294117647,8.47058823529412,0.176470588235294,-1.40327178088983,0.839365394149727
"10212",-0.137931034482759,-1.72549019607843,0.117647058823529,-0.725490196078431,-0.0392156862745098,1.7843137254902,0.620689655172414,-2.05882352941176,0.254901960784314,1.27450980392157,0.235294117647059,0.333333333333333,-0.411764705882353,4.47058823529412,-0.823529411764706,0.596728219110175,-1.16063460585027
"10212",NA,-0.725490196078431,-0.882352941176471,1.27450980392157,-0.0392156862745098,-0.215686274509804,NA,-1.05882352941176,1.25490196078431,0.274509803921569,0.235294117647059,0.333333333333333,-0.411764705882353,0.470588235294116,-1.82352941176471,1.59672821911017,-1.16063460585027
"10212",-0.137931034482759,1.27450980392157,0.117647058823529,0.274509803921569,-0.0392156862745098,-0.215686274509804,-0.379310344827586,-0.0588235294117647,0.254901960784314,0.274509803921569,0.235294117647059,-0.666666666666667,0.588235294117647,-3.52941176470588,-2.82352941176471,0.596728219110175,-1.16063460585027
"10212",NA,1.27450980392157,2.11764705882353,1.27450980392157,-0.0392156862745098,-1.2156862745098,NA,-2.05882352941176,-0.745098039215686,-0.725490196078431,-0.764705882352941,0.333333333333333,-0.411764705882353,-7.52941176470588,3.17647058823529,-0.403271780889825,-0.160634605850273
"10212",-0.137931034482759,1.27450980392157,-0.882352941176471,-1.72549019607843,-0.0392156862745098,-1.2156862745098,-1.37931034482759,-0.0588235294117647,1.25490196078431,0.274509803921569,-1.76470588235294,0.333333333333333,-0.411764705882353,-11.5294117647059,2.17647058823529,0.596728219110175,-0.160634605850273
"10212",NA,0.274509803921569,0.117647058823529,0.274509803921569,-0.0392156862745098,-1.2156862745098,NA,0.941176470588235,0.254901960784314,-0.725490196078431,0.235294117647059,0.333333333333333,0.588235294117647,-15.5294117647059,1.17647058823529,0.596728219110175,-0.160634605850273
"10212",-0.137931034482759,0.274509803921569,1.11764705882353,0.274509803921569,-0.0392156862745098,-0.215686274509804,-0.379310344827586,-0.0588235294117647,-0.745098039215686,0.274509803921569,0.235294117647059,0.333333333333333,0.588235294117647,-19.5294117647059,0.176470588235294,-0.403271780889825,-0.160634605850273
"10212",2.86206896551724,-1.72549019607843,-0.882352941176471,-1.72549019607843,-0.0392156862745098,1.7843137254902,-1.37931034482759,-1.05882352941176,0.254901960784314,-1.72549019607843,-0.764705882352941,-0.666666666666667,0.588235294117647,-23.5294117647059,-0.823529411764706,0.596728219110175,0.839365394149727
"10212",-0.137931034482759,0.274509803921569,-0.882352941176471,0.274509803921569,-0.0392156862745098,0.784313725490196,0.620689655172414,0.941176470588235,0.254901960784314,1.27450980392157,0.235294117647059,1.33333333333333,-0.411764705882353,29.4705882352941,-1.82352941176471,0.596728219110175,-1.16063460585027
"10212",-0.137931034482759,0.274509803921569,1.11764705882353,1.27450980392157,-0.0392156862745098,0.784313725490196,0.620689655172414,0.941176470588235,-0.745098039215686,-0.725490196078431,0.235294117647059,0.333333333333333,-0.411764705882353,21.4705882352941,3.17647058823529,0.596728219110175,-1.16063460585027
"10212",-0.137931034482759,-1.72549019607843,0.117647058823529,0.274509803921569,-0.0392156862745098,2.7843137254902,0.620689655172414,-0.0588235294117647,0.254901960784314,1.27450980392157,0.235294117647059,0.333333333333333,-0.411764705882353,13.4705882352941,1.17647058823529,0.596728219110175,-1.16063460585027
"10212",-0.137931034482759,-1.72549019607843,0.117647058823529,-1.72549019607843,0.96078431372549,-1.2156862745098,0.620689655172414,-0.0588235294117647,1.25490196078431,-0.725490196078431,-1.76470588235294,-1.66666666666667,-0.411764705882353,9.47058823529412,0.176470588235294,-1.40327178088983,1.83936539414973
"10212",NA,1.27450980392157,-0.882352941176471,1.27450980392157,-0.0392156862745098,-1.2156862745098,NA,0.941176470588235,-0.745098039215686,0.274509803921569,0.235294117647059,1.33333333333333,-0.411764705882353,5.47058823529412,-0.823529411764706,0.596728219110175,-1.16063460585027
"10212",-0.137931034482759,-1.72549019607843,0.117647058823529,0.274509803921569,-0.0392156862745098,0.784313725490196,0.620689655172414,-0.0588235294117647,-0.745098039215686,-0.725490196078431,-0.764705882352941,0.333333333333333,0.588235294117647,1.47058823529412,-1.82352941176471,-0.403271780889825,-0.160634605850273
"10212",NA,1.27450980392157,0.117647058823529,-1.72549019607843,-0.0392156862745098,-1.2156862745098,NA,-1.05882352941176,0.254901960784314,-0.725490196078431,-0.764705882352941,-1.66666666666667,-0.411764705882353,-2.52941176470588,-2.82352941176471,-1.40327178088983,0.839365394149727
"10212",-0.137931034482759,0.274509803921569,1.11764705882353,1.27450980392157,-0.0392156862745098,-1.2156862745098,-0.379310344827586,-0.0588235294117647,-0.745098039215686,0.274509803921569,0.235294117647059,0.333333333333333,0.588235294117647,-6.52941176470588,3.17647058823529,0.596728219110175,-0.160634605850273
"10212",-0.137931034482759,-2.72549019607843,0.117647058823529,1.27450980392157,-0.0392156862745098,1.7843137254902,-0.379310344827586,-0.0588235294117647,-0.745098039215686,1.27450980392157,1.23529411764706,0.333333333333333,-0.411764705882353,-10.5294117647059,2.17647058823529,0.596728219110175,-0.160634605850273
